Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Porsche,992,France,2019,26358,444,Automatic,Petrol,4x2,9.1,208,Black,4/5 doors,4/5 doors,Cabriolet,2/3 doors,4,164599.0
Aston Martin,DB11,Spain,2022,11900,503,Automatic,Petrol,4x2,9.9,230,Grey,Other interior color,Other interior material,Coupe,2/3 doors,4,164599.0
Audi,RSQ8,Luxembourg,2024,50,591,Automatic,Petrol,4x4,12.1,277,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,163099.0
Porsche,992,Germany,2024,19000,389,Automatic,Petrol,4x2,9.6,218,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4,163049.0
Mercedes-Benz,GLE 63 AMG,Germany,2023,230,603,Automatic,Petrol,4x4,12.7,288,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,163049.0
Porsche,992,Germany,2024,0,389,Automatic,Petrol,4x2,9.6,218,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,4,162999.0
Porsche,Cayenne,Germany,2024,8800,468,Automatic,Petrol,4x4,11.8,283,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,4,162999.0
Audi,RSQ8,Germany,2024,0,591,Automatic,Petrol,4x4,12.1,277,Black,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,162999.0
Porsche,992,Germany,2023,41399,473,Automatic,Petrol,4x4,10.6,226,Grey,Black interior,Alcantara interior,Cabriolet,2/3 doors,4,162999.0
Land Rover,Defender,Austria,2024,14300,518,Automatic,Petrol,4x4,8.8,333,Grey,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,162899.0
Porsche,992,France,2024,6980,389,Automatic,Petrol,4x2,9.4,215,Grey,Black interior,Full leather interior,Coupe,2/3 doors,4,162899.0
Porsche,992,France,2024,10,389,Automatic,Petrol,4x2,9.4,215,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,162899.0
Porsche,Cayman,Austria,2022,7500,414,Manual,Petrol,4x2,10.5,251,Silver,Other interior color,Full leather interior,Coupe,2/3 doors,2,162899.0
Porsche,992,Austria,2019,20000,444,Automatic,Petrol,4x2,9.6,220,Blue,Black interior,Part leather interior,Coupe,2/3 doors,4,162899.0
Lexus,LC 500,Austria,2024,5555,457,Automatic,Petrol,4x2,7.7,187,Grey,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,162899.0
RAM,1500,France,2021,31289,703,Automatic,Ethanol,4x2,7.7,187,4/5 doors,Black interior,Full leather interior,Pick-up,4/5 doors,4,162899.0
RAM,1500,France,2021,31289,703,Automatic,Petrol,4x2,7.7,187,Grey,Black interior,Full leather interior,Pick-up,4/5 doors,4,162899.0
Audi,SQ7,Germany,2024,10,500,Automatic,Petrol,4x4,12.4,272,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,162899.0
Audi,RSQ8,Germany,2024,5,591,Manual,Petrol,4x4,12.1,277,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,162899.0
Audi,SQ7,Germany,2024,10,500,Automatic,Petrol,4x4,11.4,272,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,162899.0
Mercedes-Benz,SL 55 AMG,France,2022,10103,469,Automatic,Petrol,4x4,12.1,288,Grey,Beige interior,Full leather interior,Cabriolet,2/3 doors,2,162849.0
Bentley,Bentayga,Germany,2020,65644,626,Automatic,Petrol,4x4,14.0,335,White,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,161399.0
Audi,RSQ8,France,2022,33359,591,Automatic,Petrol,4x4,12.1,277,White,Black interior,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
Porsche,992,France,2019,52500,444,Automatic,Petrol,4x2,9.8,223,Grey,Other interior color,4/5 doors,Cabriolet,2/3 doors,4,161399.0
Porsche,991,Netherlands,2017,67000,573,Automatic,Petrol,4x4,8.9,212,Grey,Other interior color,Full leather interior,Coupe,2/3 doors,4,161399.0
Porsche,992,France,2019,13900,444,Automatic,Petrol,4x4,9.7,222,Green,Black interior,Full leather interior,Coupe,2/3 doors,4,161399.0
Aston Martin,DB11,France,2019,39900,503,Automatic,Petrol,4x2,7.7,187,Blue,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,161399.0
Porsche,991,France,2018,35900,444,Automatic,Petrol,4x2,9.1,208,White,Black interior,4/5 doors,Cabriolet,2/3 doors,4,161399.0
BMW,M4,Spain,2023,5700,543,Automatic,Petrol,4x2,9.3,222,Grey,Other interior color,Other interior material,Coupe,2/3 doors,2,161399.0
Porsche,992,France,2019,50050,444,Automatic,Petrol,4x4,8.6,206,Silver,Black interior,4/5 doors,Coupe,2/3 doors,4,161399.0
Land Rover,Range Rover Sport,France,2024,5000,434,Automatic,Hybrid,4x4,7.7,17,Black,4/5 doors,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
Land Rover,Range Rover Sport,France,2024,6000,434,Automatic,Hybrid,4x4,7.7,17,Black,4/5 doors,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
Porsche,992,Germany,2024,300,380,Automatic,Petrol,4x4,9.7,221,Grey,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,161399.0
Porsche,991,France,2016,55900,573,Automatic,Petrol,4x2,9.1,212,Silver,4/5 doors,4/5 doors,Coupe,2/3 doors,4,161399.0
Bentley,Continental GT,France,2018,42607,626,Automatic,Petrol,4x4,11.6,278,Grey,4/5 doors,Full leather interior,Coupe,2/3 doors,4,161399.0
Porsche,992,Germany,2021,10500,444,Automatic,Petrol,4x4,9.9,227,Blue,Other interior color,Full leather interior,Coupe,2/3 doors,4,161399.0
Land Rover,Range Rover Sport,France,2023,10000,434,Automatic,Hybrid,4x4,7.7,17,Grey,4/5 doors,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
Land Rover,Range Rover,France,2023,6100,503,Automatic,Hybrid,4x4,7.7,20,Grey,4/5 doors,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
BMW,M4,France,2021,23550,503,Automatic,Petrol,4x2,9.6,229,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,161399.0
Land Rover,Range Rover Sport,France,2023,10000,346,Automatic,Diesel,4x4,6.9,184,Grey,Brown interior,4/5 doors,SUV / offroad,4/5 doors,5,161399.0
Porsche,992,France,2019,41647,444,Automatic,Petrol,4x2,8.6,205,Silver,4/5 doors,4/5 doors,Coupe,2/3 doors,4,161399.0
Mercedes-Benz,G 400,Germany,2022,40417,326,Automatic,Diesel,4x4,10.9,289,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,158949.0
BMW,M4,Germany,2024,10,543,Automatic,Petrol,4x2,7.7,187,Grey,Other interior color,Full leather interior,Coupe,2/3 doors,4,158949.0
BMW,M4,Germany,2024,0,543,Automatic,Petrol,4x4,10.2,232,Grey,Other interior color,Full leather interior,Coupe,2/3 doors,4,158949.0
RAM,1500,Germany,2024,30,703,Automatic,Petrol,4x4,12.8,422,Red,Black interior,Full leather interior,Pick-up,4/5 doors,5,158999.0
Audi,RS6,Germany,2024,15,621,Automatic,Petrol,4x4,12.1,263,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,158949.0
Audi,R8,Germany,2020,15637,612,Automatic,Petrol,4x4,12.4,297,Grey,Black interior,Full leather interior,Coupe,2/3 doors,2,158949.0
Audi,RSQ8,Germany,2024,0,591,Automatic,Petrol,4x4,12.1,277,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,158949.0
Audi,RS7,Germany,2024,2500,591,Automatic,Petrol,4x4,12.0,263,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4,158949.0
