Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Porsche,992,Netherlands,1/2022,10 599 km,641 hp,Automatic,Petrol,4x4,11.5 l/100km,254 g/km,Grey,Black interior,Full leather interior,Coupe,2/3 doors,4.0,275799.0
Porsche,992,Germany,6/2023,13 000 km,641 hp,Automatic,Petrol,4x4,11.5 l/100km,254 g/km,Red,Black interior,Full leather interior,Coupe,2/3 doors,2.0,273099.0
Bentley,Bentayga,Germany,1/2023,21 500 km,542 hp,Automatic,Petrol,4x4,12.3 l/100km,294 g/km,Black,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5.0,273099.0
Mercedes-Benz,G 63 AMG,Austria,9/2020,31 364 km,577 hp,Automatic,Petrol,4x4,15.6 l/100km,373 g/km,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,272999.0
BMW,X5 M,Austria,5/2024,8 000 km,617 hp,Automatic,Petrol,4x4,12.2 l/100km,291 g/km,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,272999.0
Land Rover,Range Rover,Germany,8/2024,7 km,606 hp,Automatic,Petrol,4x4,12 l/100km,272 g/km,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,272899.0
Lamborghini,Urus,France,7/2019,54 900 km,650 hp,Automatic,Petrol,4x4,12.1 l/100km,290 g/km,,Black interior,Other interior material,SUV / offroad,4/5 doors,5.0,272899.0
McLaren,GT,Austria,1/2023,5 819 km,612 hp,Automatic,Petrol,4x2,,,Blue,Black interior,Full leather interior,Coupe,2/3 doors,2.0,272899.0
Maserati,MC20,Belgium,7/2024,3 km,621 hp,Automatic,Petrol,4x2,10.9 l/100km,261 g/km,Grey,Brown interior,Full leather interior,Coupe,2/3 doors,2.0,272849.0
Mercedes-Benz,GLS 600,Germany,8/2024,50 km,550 hp,Automatic,Petrol,4x4,14.2 l/100km,320 g/km,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,4.0,272799.0
Mercedes-Benz,AMG GT,Austria,3/2024,12 000 km,577 hp,Automatic,Petrol,4x4,13.3 l/100km,319 g/km,Grey,Other interior color,Full leather interior,Coupe,2/3 doors,2.0,272799.0
Bentley,Continental GT,Luxembourg,2/2022,18 900 km,650 hp,Automatic,Petrol,4x4,13.3 l/100km,317 g/km,Black,Black interior,Full leather interior,Coupe,2/3 doors,4.0,272799.0
Lamborghini,Urus,Spain,6/2020,32 800 km,641 hp,Automatic,Petrol,4x4,12.7 l/100km,325 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,272799.0
Lamborghini,Urus,Spain,3/2020,39 950 km,641 hp,Automatic,Petrol,4x4,12.7 l/100km,325 g/km,Yellow,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,272699.0
Mercedes-Benz,G 63 AMG,Austria,8/2024,10 km,577 hp,Automatic,Petrol,4x4,15.6 l/100km,373 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,272149.0
Bentley,Continental GTC,Germany,10/2018,27 500 km,700 hp,Automatic,Other fuel type,4x4,,,Blue,Black interior,Full leather interior,Cabriolet,2/3 doors,4.0,271999.0
Land Rover,Range Rover,Germany,8/2024,10 km,606 hp,Automatic,Petrol,4x4,11.7 l/100km,272 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,271999.0
Porsche,992,Germany,5/2024,900 km,641 hp,Automatic,Petrol,4x2,12.2 l/100km,257 g/km,Black,Beige interior,Full leather interior,Cabriolet,2/3 doors,4.0,272049.0
Porsche,992,Germany,6/2024,8 290 km,641 hp,Automatic,Petrol,4x4,11.7 l/100km,257 g/km,Grey,Brown interior,Full leather interior,Cabriolet,2/3 doors,4.0,271999.0
Porsche,992,Netherlands,9/2023,11 000 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,Black,Other interior color,Full leather interior,Coupe,2/3 doors,2.0,270599.0
Lamborghini,Urus,France,3/2019,31 129 km,641 hp,Automatic,Petrol,4x4,12.2 l/100km,292 g/km,Black,Black interior,,SUV / offroad,4/5 doors,5.0,270599.0
Lamborghini,Huracan,Germany,3/2015,22 500 km,602 hp,Automatic,Petrol,4x4,12.1 l/100km,290 g/km,Grey,Black interior,Alcantara interior,Coupe,2/3 doors,2.0,270599.0
Mercedes-Benz,S 63 AMG,Germany,5/2018,18 000 km,789 hp,Automatic,Petrol,4x4,,,Black,Brown interior,Full leather interior,Coupe,2/3 doors,4.0,270599.0
Porsche,992,France,9/2021,3 101 km,503 hp,Automatic,Petrol,4x2,12.6 l/100km,283 g/km,,,,Coupe,2/3 doors,2.0,270599.0
