Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Volkswagen,Caddy,Germany,2023,8797,113,Automatic,Petrol,4x2,5.8,134,Beige,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,34199
Volkswagen,Crafter,Netherlands,2023,17048,174,Automatic,Diesel,4x2,7.4,196,White,Other interior color,Other interior material,Cargo VAN,4/5 doors,2,65749
Volvo,V90,Netherlands,2019,153234,188,Automatic,Diesel,4x2,4.9,129,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,31549
Toyota,C-HR,Germany,2024,20,97,Automatic,Petrol,4x2,9.0,86,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,31749
BMW,X1,Austria,2024,21540,148,Automatic,Diesel,4x2,5.1,134,Silver,Black interior,Other interior material,SUV / offroad,4/5 doors,5,44299
Suzuki,Vitara,Germany,2023,14900,127,Manual,Petrol,4x2,5.4,104,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,21499
Hyundai,i10,Germany,2024,20,62,Manual,Petrol,4x2,4.2,97,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5,16349
Mercedes-Benz,GLB 200,Spain,2020,76264,148,Automatic,Diesel,4x2,4.8,127,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,39699
Seat,Ateca,Germany,2021,60226,148,Automatic,Petrol,4x2,5.7,129,Green,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,27749
Opel,Mokka,Italy,2022,25411,129,Automatic,Petrol,4x2,4.9,111,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,22949
BMW,M5,Luxembourg,2021,38080,617,Automatic,Petrol,4x4,10.7,256,Red,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,97999
Kia,Stonic,Germany,2024,10,78,Manual,Petrol,4x2,5.1,116,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,25599
Opel,Movano,Germany,2022,114980,138,Manual,Diesel,4x2,5.8,154,White,Black interior,Cloth interior,Cargo VAN,2/3 doors,3,22149
Kia,Picanto,Spain,2023,14975,66,Manual,Petrol,4x2,4.9,113,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5,12549
Mercedes-Benz,GLB 180,Belgium,2023,34346,114,Automatic,Diesel,4x2,11.0,260,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,41849
Hyundai,Tucson,Germany,2019,47700,182,Automatic,Diesel,4x4,5.6,148,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,26299
Volvo,XC40,Germany,2018,106802,154,Manual,Petrol,4x2,6.3,146,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,20999
Volkswagen,T-Cross,Germany,2024,10,114,Automatic,Petrol,4x2,4.9,113,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,27899
Ford,Transit Connect,Germany,2024,10,99,Manual,Diesel,4x2,5.6,124,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,26799
Audi,A7,Italy,2020,48000,241,Automatic,Petrol,4x4,6.5,150,Blue,Grey interior,Part leather interior,Sedans / saloons,4/5 doors,4,46899
Volvo,XC60,Poland,2022,49388,247,Automatic,Petrol,4x4,6.0,135,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,44599
Škoda,Octavia,Germany,2017,43000,114,Manual,Petrol,4x2,4.8,110,Silver,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,14399
Volkswagen,T-Roc,France,2024,10,148,Automatic,Petrol,4x2,6.2,123,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,33999
BMW,118,Germany,2021,36127,134,Automatic,Petrol,4x2,8.0,195,Black,Grey interior,Other interior material,Hatchback,4/5 doors,5,25099
Volkswagen,Polo,Germany,2024,6010,94,Automatic,Petrol,4x2,5.6,105,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,24149
Škoda,Octavia,Poland,2021,127494,148,Automatic,Diesel,4x2,4.5,100,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,25149
BMW,318,Germany,2021,93301,148,Automatic,Diesel,4x2,8.0,195,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,26599
Audi,A3,Austria,2020,125711,114,Manual,Diesel,4x2,4.4,106,Black,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,20049
